title,rating,price,fan_rpm,noise_level,color,radiator_size
Asus TUF Gaming LC II ARGB,4.0,$258.54,800 - 2000 RPM,29 dB,Black,360 mm
Noctua NH-D12L CHROMAX.BLACK,5.0,$109.95,450 - 2000 RPM,18.8 - 22.6 dB,Black,None
Corsair iCUE LINK H170i LCD,4.0,$368.00,400 - 2000 RPM,None,Black,420 mm
ID-COOLING FROSTFLOW X,4.5,$54.99,700 - 1800 RPM,18 - 35.2 dB,None,240 mm
be quiet! Light Loop,4.5,$164.50,1500 - 2900 RPM,17.2 - 36.8 dB,Black,360 mm
Cooler Master Hyper 212 Halo,4.5,$33.99,650 - 2050 RPM,27 dB,White,None
Noctua NH-U12S,4.5,$92.28,300 - 1500 RPM,18.6 - 22.4 dB,None,None
be quiet! Pure Loop 2 FX,4.5,$150.99,None,8 - 34 dB,Black,360 mm
NZXT Kraken Z73,4.5,$220.00,500 - 1800 RPM,21 - 36 dB,Black,360 mm
Thermalright Burst Assassin 120 SE,5.0,$21.69,1550 RPM,25.6 dB,Black / Silver,None
be quiet! Pure Rock 2 FX,4.5,$52.90,None,7.9 - 24.4 dB,Black,None
NZXT T120 RGB,4.0,$32.49,500 - 1800 RPM,17.2 - 27.5 dB,Black,None
Cooler Master Hyper 212 Pro,5.0,$26.99,690 - 2500 RPM,32.8 dB,Black,None
Corsair iCUE LINK H100i RGB,4.0,$99.99,480 - 2400 RPM,None,White,240 mm
Thermalright Peerless Assassin 140,5.0,None,1500 RPM,25.6 dB,Black,None
be quiet! Silent Loop 3,None,Out of stock$174.90,1900 RPM,19.4 - 34.3 dB,Black,420 mm
Thermalright AXP90-X47,5.0,$21.90,2700 RPM,22.4 dB,White,None
MSI MAG CORELIQUID 360R V2,4.5,Out of stock$139.99,500 - 2000 RPM,14.3 - 34.3 dB,Black,360 mm
Asus ROG RYUO III 360 ARGB,None,$199.99,2200 RPM,36.45 dB,Black,360 mm
NZXT Kraken X53,4.5,Out of stock$134.99,500 - 2000 RPM,21 - 36 dB,Black,240 mm
Thermalright Frozen Edge,4.5,$48.90,2150 RPM,28.1 dB,Black,240 mm
Thermalright Frozen Edge,4.5,$63.90,2150 RPM,28.1 dB,Black,360 mm
Phanteks Glacier One 360M25 G2,None,None,350 - 2000 RPM,35.13 dB,Black,360 mm
Lian Li Galahad II Trinity,4.5,$177.99,2450 RPM,35.4 dB,White,360 mm
Corsair iCUE LINK H150i RGB,4.5,$382.13,480 - 2400 RPM,None,Black,360 mm
Lian Li HydroShift LCD 360TL RGB,5.0,None,200 - 2600 RPM,33 dB,White,360 mm
Corsair iCUE H150i ELITE LCD XT,4.5,None,550 - 2100 RPM,5 - 31.1 dB,White / Gray,360 mm
ID-COOLING FROSTFLOW X,4.5,$59.99,800 - 1600 RPM,16.8 - 32.6 dB,Black / Silver,280 mm
Deepcool AK620,4.5,None,500 - 1850 RPM,28 dB,White,None
be quiet! Pure Rock LP,4.0,$90.01,2500 RPM,None,Black,None
MSI MAG CORELIQUID A13,None,$84.99,None,None,Black,240 mm
Noctua NH-D12L,4.5,$99.95,450 - 2000 RPM,18.8 - 22.6 dB,Beige / Brown,None
Cooler Master MasterLiquid 240L Core ARGB,4.5,$81.99,350 - 1750 RPM,27.2 dB,White,240 mm
ARCTIC Freezer 34 eSports DUO,4.5,$52.99,200 - 2100 RPM,24.4 dB,White / Black,None
Thermalright Peerless Assassin 90 SE,5.0,$23.39,2200 RPM,23.85 dB,Black,None
be quiet! Dark Rock Elite,4.5,$139.90,1500 - 2000 RPM,11 - 25.8 dB,Black,None
Lian Li HydroShift LCD 360R RGB,4.5,None,300 - 2400 RPM,30 dB,White,360 mm
NZXT Kraken Elite 240 (2024),4.0,$209.99,500 - 2000 RPM,30 dB,Black,240 mm
Scythe Fuma 3,5.0,$54.99,200 - 1500 RPM,4 - 28.6 dB,Black / Silver,None
Cooler Master MasterLiquid 120L Core,4.0,$54.99,650 - 1750 RPM,27.2 dB,Black,120 mm
Cooler Master Hyper H412R,5.0,$48.41,600 - 2000 RPM,29.4 dB,Black,None
Noctua NH-L9x65,4.5,$69.95,600 - 2500 RPM,14.8 - 23.6 dB,None,None
Deepcool LE520,4.0,None,500 - 2250 RPM,32.9 dB,Black,240 mm
Corsair iCUE LINK TITAN 240 RX RGB,4.5,$144.99,300 - 2100 RPM,None,Black,240 mm
Asus Prime LC 360 ARGB,None,$107.99,600 - 2200 RPM,None,Black,360 mm
Deepcool LS720 SE,4.5,None,500 - 2250 RPM,28.2 - 32.9 dB,Black,360 mm
Deepcool AK400 ZERO DARK,5.0,None,500 - 1850 RPM,29 dB,Black,None
MSI MEG CORELIQUID S360,5.0,$321.72,None,22.7 dB,Black,360 mm
Cooler Master MasterLiquid 360 Atmos,None,$134.99,690 - 2500 RPM,27.2 dB,Black,360 mm
ARCTIC Liquid Freezer III 280 A-RGB,4.5,$149.99,200 - 1900 RPM,None,White,280 mm
TRYX PANORAMA ARGB,5.0,None,500 - 1850 RPM,27.86 dB,Black,360 mm
ID-COOLING FX360 INF,None,$100.00,2900 RPM,25 dB,Pink,360 mm
ARCTIC Liquid Freezer II 360,4.5,None,800 - 2000 RPM,None,Black,360 mm
Thermalright Frozen Prism,4.0,$61.09,1850 RPM,27 dB,Black,360 mm
MSI MAG CORELIQUID E360,4.5,$139.99,None,None,Black,360 mm
Corsair iCUE H100i ELITE CAPELLIX XT,4.5,None,550 - 2100 RPM,5 - 34.1 dB,Black,240 mm
Cooler Master I30,5.0,$12.99,2600 RPM,28 dB,Black / Silver,None
Noctua NH-L9a-AM4 chromax.black,4.5,$59.95,600 - 2500 RPM,14.8 - 23.6 dB,Black,None
Thermalright Peerless Assassin 90 SE,5.0,$23.29,2200 RPM,23.85 dB,White / Silver,None
Noctua NH-L9i-17xx,3.0,$49.95,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Beige,None
Thermalright Assassin Spirit V2,5.0,None,1500 RPM,25.6 dB,Gray,None
Gigabyte AORUS WATERFORCE X II 360,None,$219.99,800 - 2400 RPM,12 - 37.5 dB,Black,360 mm
NZXT Kraken Z73 RGB,4.5,Out of stock$279.99,500 - 1500 RPM,22 - 33 dB,White / Black,360 mm
Montech HyperFlow ARGB 360,3.0,$99.90,2200 RPM,29.1 dB,White,360 mm
Thermalright AXP90-X36,5.0,$21.90,2700 RPM,22.4 dB,Gray,None
Thermalright Mjolnir Vision 360 ARGB,5.0,$124.90,2150 RPM,27 dB,Black,360 mm
Corsair A115,None,$99.99,400 - 1600 RPM,5 - 33.9 dB,Black,None
Asus ROG Ryujin III ARGB,5.0,Out of stock$444.99,600 - 2200 RPM,36.45 dB,Black,360 mm
Thermalright Peerless Assassin 90 SE,5.0,$23.90,2200 RPM,23.85 dB,Black / Silver,None
Thermalright AQUA ELITE ARGB V4,5.0,$45.49,1550 RPM,25.6 dB,Black,240 mm
Thermaltake UX200 SE ARGB,4.0,$29.99,800 - 1800 RPM,25 dB,Black,None
Phanteks Glacier One 360M25 G2,None,$119.99,350 - 2000 RPM,35.13 dB,White,360 mm
Noctua NH-D15S,4.5,$119.95,300 - 1500 RPM,19.2 - 24.6 dB,None,None
Thermalright Frozen Edge,4.5,$54.90,2150 RPM,28.1 dB,White,360 mm
Thermalright Frozen Warframe PRO ARGB,5.0,$109.90,2000 RPM,29.8 dB,Black,360 mm
SAMA SM360 LCD,4.0,$114.99,800 - 1800 RPM,35.5 dB,Black,360 mm
Thermalright Mjolnir Vision 360 ARGB,5.0,$118.90,2150 RPM,27 dB,White,360 mm
Gigabyte AORUS WATERFORCE II 360,None,Out of stock$119.99,800 - 2300 RPM,12.8 - 36.9 dB,Black,360 mm
