,title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color,max_memory_gb
2297,Gigabyte GA-H81M-D2V,,,LGA1150,Micro ATX,16 GB,2,Black / Silver,16.0
2298,Asus B150M-C,5.0,,LGA1151,Micro ATX,64 GB,4,Black / Gold,64.0
2299,Asus MAXIMUS VIII FORMULA,4.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
2300,MSI B150I GAMING PRO AC,4.5,,LGA1151,Mini ITX,32 GB,2,Black / Red,32.0
2301,Gigabyte GA-X99-Ultra Gaming,4.5,,LGA2011-3,ATX,128 GB,8,Black / Red,128.0
2302,Gigabyte GA-H110M-S2,,,LGA1151,Micro ATX,32 GB,2,Black / White,32.0
2303,Gigabyte GA-Z270N-WIFI,4.5,,LGA1151,Mini ITX,32 GB,2,Black / Gold,32.0
2304,Asus STRIX B250I GAMING,5.0,,LGA1151,Mini ITX,32 GB,2,Black,32.0
2305,MSI B360I GAMING PRO AC,4.0,,LGA1151,Mini ITX,32 GB,2,Black,32.0
2306,MSI A320M PRO-M2,,,AM4,Micro ATX,32 GB,2,Black,32.0
2307,Gigabyte B460M D3H,4.0,,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
2308,ASRock H410M-HVS,,,LGA1200,Micro ATX,64 GB,2,Black / Silver,64.0
2309,MSI B460M PRO-VDH,,,LGA1200,Micro ATX,128 GB,4,Black,128.0
2310,MSI B560M PRO-VDH WIFI (CEC),,,LGA1200,Micro ATX,128 GB,4,Black,128.0
2311,Gigabyte B760M AORUS ELITE,,,LGA1700,Micro ATX,192 GB,4,Black / Silver,192.0
2312,Asus PRIME A620M-A,,,AM5,Micro ATX,192 GB,4,Silver / Black,192.0
2313,MSI MAG B760M MORTAR II,,,LGA1700,Micro ATX,192 GB,4,Silver / Black,192.0
2314,Biostar H610MHP 2.0,,,LGA1700,Micro ATX,64 GB,2,Black,64.0
2315,Asus B760M-AYW PRO WIFI,,,LGA1700,ATX,96 GB,2,Black / Silver,96.0
2316,Asus PRIME B650-PLUS WIFI-CSM,,,AM5,ATX,192 GB,4,Black / Silver,192.0
2317,Gigabyte Q670M D3H,,,LGA1700,Micro ATX,128 GB,4,Brown / Gray,128.0
2318,ASRock P43DE,,Out of stock$73.92,LGA775,ATX,16 GB,4,Multicolor,16.0
2319,Intel DH61BEB3,,,LGA1155,Micro ATX,8 GB,2,Green / Blue,8.0
2320,ASRock Fatal1ty X79 Professional,,Out of stock$288.22,LGA2011,ATX,32 GB,4,Black / Red,32.0
2321,ASRock X470D4U,4.0,,AM4,Micro ATX,64 GB,4,Green,64.0
2322,ASRock Z490M Pro4,5.0,405.00,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
2323,Gigabyte Z690 UD AX,,,LGA1700,ATX,192 GB,4,Black,192.0
2324,Gigabyte Z790 D DDR4,3.0,,LGA1700,ATX,128 GB,4,Black,128.0
2325,Asus P5QL/EPU,4.0,,LGA775,ATX,16 GB,4,Black / Yellow,16.0
2326,Intel DG41MJ,,,LGA775,Mini ITX,8 GB,2,Green / Blue,8.0
2327,Intel DG41AN,,,LGA775,Mini ITX,4 GB,2,Green / Blue,4.0
2328,Asus M2N68-AM PLUS,2.0,261.98,AM3/AM2+/AM2,Micro ATX,8 GB,2,Multicolor,8.0
2329,Asus Sabertooth P67,4.5,,LGA1155,ATX,32 GB,4,Brown / Black,32.0
2330,MSI H61M-E23 (B3),,,LGA1155,Micro ATX,16 GB,2,Black / Blue,16.0
2331,ASRock A55M-HVS,4.0,,FM1,Micro ATX,16 GB,2,Black / Blue,16.0
2332,Gigabyte GA-Z77-HD3,4.0,,LGA1155,ATX,32 GB,4,Blue / White,32.0
2333,MSI Z87-G41 PC Mate,4.5,,LGA1150,ATX,32 GB,4,Black / Blue,32.0
2334,MSI Z87-G43,4.5,,LGA1150,ATX,32 GB,4,Black / Blue,32.0
2335,Gigabyte GA-Z87X-D3H,4.5,,LGA1150,ATX,32 GB,4,Black / Gray,32.0
2336,Asus Maximus VI Impact,4.5,,LGA1150,Mini ITX,16 GB,2,Black / Red,16.0
2337,MSI H81I,4.0,,LGA1150,Mini ITX,16 GB,2,Black / Blue,16.0
2338,Gigabyte GA-Z97MX-Gaming 5,4.5,,LGA1150,Micro ATX,32 GB,4,Black / Red,32.0
2339,ASRock X99 Extreme11,,,LGA2011-3,EATX,128 GB,8,Black / Blue,128.0
2340,MSI Z97-G43,5.0,,LGA1150,ATX,32 GB,4,Black / Blue,32.0
2341,Asus A88XM-Plus,5.0,,FM2+,Micro ATX,64 GB,4,Black / Gold,64.0
2342,ASRock Z97X Killer/3.1,,,LGA1150,ATX,32 GB,4,Black / Red,32.0
2343,MSI Z170A KRAIT GAMING,3.5,,LGA1151,ATX,64 GB,4,Black / White,64.0
2344,Asus H170-PLUS D3,5.0,,LGA1151,ATX,64 GB,4,Black / Gold,64.0
2345,Gigabyte GA-Z170-Gaming K3-EU,4.0,,LGA1151,ATX,64 GB,4,Black / Red,64.0
2346,Asus B150M-PLUS,,,LGA1151,Micro ATX,64 GB,4,Black / Gold,64.0
2347,ECS H110M4-C23,,,LGA1151,Micro ATX,32 GB,2,Brown / Black,32.0
2348,ASRock X370 Killer SLI,4.0,,AM4,ATX,64 GB,4,Black / White,64.0
2349,MSI A320M GAMING PRO,4.0,,AM4,Micro ATX,32 GB,2,Black / Red,32.0
2350,MSI A320M GRENADE,,,AM4,Micro ATX,32 GB,2,Black / Red,32.0
2351,Biostar B350GTN,,,AM4,Mini ITX,32 GB,2,Black,32.0
2352,Asus PRIME X370-A,,,AM4,ATX,64 GB,4,Black / Red,64.0
2353,Asus ROG RAMPAGE VI EXTREME,4.0,,LGA2066,EATX,128 GB,8,Black / Silver,128.0
2354,MSI X370 GAMING PRO CARBON AC,4.0,,AM4,ATX,64 GB,4,Black,64.0
2355,Gigabyte B360 AORUS GAMING 3,3.0,,LGA1151,ATX,64 GB,4,Black / Orange,64.0
2356,ASRock X470 Taichi Ultimate,3.0,,AM4,ATX,64 GB,4,Silver / Black,64.0
2357,Asus PRIME Q370M-C/CSM,4.0,,LGA1151,Micro ATX,64 GB,4,Green / Black,64.0
2358,Gigabyte Q370M D3H GSM PLUS,,,LGA1151,Micro ATX,64 GB,4,Black,64.0
2359,ECS KAM1-I (V1.0),,,AM1,Mini ITX,16 GB,2,Black / Gray,16.0
2360,Gigabyte GA-B365M-HD3,,,LGA1151,Micro ATX,32 GB,2,Black / Silver,32.0
2361,Gigabyte B460M GAMING HD,3.0,,LGA1200,Micro ATX,64 GB,2,Black / Red,64.0
2362,ASRock H470 Phantom Gaming 4,,,LGA1200,ATX,128 GB,4,Black / Gray,128.0
2363,MSI MAG B550 TORPEDO,,,AM4,ATX,128 GB,4,Black,128.0
2364,Gigabyte B560I AORUS PRO AX,,,LGA1200,Mini ITX,64 GB,2,Black / Silver,64.0
2365,MSI Z590 PLUS,,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
2366,Asus PRIME A620M-E,,,AM5,Micro ATX,96 GB,2,Black / Silver,96.0
2367,Asus PRIME H510M-R,,,LGA1200,Micro ATX,64 GB,2,Black,64.0
2368,Supermicro A1SRI-2758F-O,,685.00,Integrated Atom C2358,Mini ITX,64 GB,4,Black / Green,64.0
2369,ASRock Z590 Phantom Gaming-ITX/TB4,5.0,519.99,LGA1200,Mini ITX,64 GB,2,Black / Red,64.0
2370,EVGA P55V,,187.50,LGA1156,Micro ATX,16 GB,4,Black / Gray,16.0
2371,Asus TUF GAMING B660M-E D4,,,LGA1700,Micro ATX,128 GB,4,Black / Orange,128.0
2372,MSI MEG Z590 ACE,5.0,,LGA1200,ATX,128 GB,4,Black,128.0
2373,Gigabyte Z690M AORUS ELITE DDR4,,,LGA1700,Micro ATX,128 GB,4,Black,128.0
2374,Asus PRIME B860-PLUS WIFI-CSM,,,LGA1851,ATX,256 GB,4,Silver / Black,256.0
2375,Gigabyte GA-Z87-D3HP,4.5,789.87,LGA1150,ATX,32 GB,4,Black / Gray,32.0
2376,Asus TUF X299 MARK 1,5.0,,LGA2066,ATX,128 GB,8,Black,128.0
2377,Gigabyte H470 HD3,4.5,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
2378,Gigabyte B660M GAMING DDR4,,,LGA1700,Micro ATX,64 GB,2,Black / Red,64.0
2379,Colorful CVN Z790D5 GAMING FROZEN V20,,,LGA1700,ATX,192 GB,4,Silver / Copper,192.0
2380,Asus P6X58D-E,4.0,,LGA1366,ATX,24 GB,6,Black / Blue,24.0
2381,Asus P8H67-M PRO,5.0,,LGA1155,Micro ATX,32 GB,4,,32.0
2382,Gigabyte GA-H61M-S2H,5.0,,LGA1155,Micro ATX,16 GB,2,Blue / White,16.0
2383,ASRock B75M,5.0,,LGA1155,Micro ATX,16 GB,2,Brown / Black,16.0
2384,MSI B75MA-E33,4.5,,LGA1155,Micro ATX,16 GB,2,Black / Blue,16.0
2385,Gigabyte GA-Z87X-UD3H,4.5,,LGA1150,ATX,32 GB,4,Black / Gray,32.0
2386,Asus Z97-C,4.5,,LGA1150,ATX,32 GB,4,Black / Gold,32.0
2387,Gigabyte GA-X99-UD3,,,LGA2011-3,ATX,32 GB,4,Black / Gold,32.0
2388,Asus SABERTOOTH Z97 MARK S,5.0,,LGA1150,ATX,32 GB,4,White / Gray,32.0
2389,Asus H81-GAMER,5.0,,LGA1150,ATX,16 GB,4,Black / Red,16.0
2390,MSI 970A SLI Krait Edition,4.0,,AM3+,ATX,32 GB,4,Black / White,32.0
2391,ASRock H170M Pro4,4.5,,LGA1151,Micro ATX,64 GB,4,Black / Orange,64.0
2392,Gigabyte GA-B150M-D3H-GSM,,,LGA1151,Micro ATX,64 GB,4,Black / Silver,64.0
2393,Gigabyte GA-B150M-D2V DDR3,,,LGA1151,Micro ATX,16 GB,2,Black / Silver,16.0
2394,Asus H110M-C D3,,,LGA1151,Micro ATX,32 GB,2,Black / Gold,32.0
2395,Asus E3 PRO GAMING V5,,,LGA1151,ATX,64 GB,4,Black / Red,64.0
2396,MSI C236A WORKSTATION,,,LGA1151,ATX,64 GB,4,Black / White,64.0
2397,MSI Z270 XPOWER GAMING TITANIUM,5.0,,LGA1151,ATX,64 GB,4,Silver / Black,64.0
2398,ASRock Z270M Pro4,4.5,,LGA1151,Micro ATX,64 GB,4,Black / White,64.0
2399,MSI B250I PRO,4.5,,LGA1151,Mini ITX,32 GB,2,Black,32.0
2400,MSI MEG X399 CREATION,,,sTR4,EATX,128 GB,8,Black / Silver,128.0
2401,Gigabyte X470 AORUS GAMING 7 WIFI-50,5.0,,AM4,ATX,64 GB,4,Black / Silver,64.0
2402,ASRock X470 Master SLI,3.0,,AM4,ATX,64 GB,4,Black,64.0
2403,ECS A320AM4-M3D,,,AM4,Micro ATX,32 GB,2,Black,32.0
2404,Gigabyte B460 AORUS PRO AC,4.0,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
2405,Biostar B550GTA,,,AM4,ATX,128 GB,4,Black,128.0
2406,ASRock B560M Pro4/ac,4.5,,LGA1200,Micro ATX,128 GB,4,Silver / Black,128.0
2407,Asus TUF GAMING B560M-E,,,LGA1200,Micro ATX,128 GB,4,Black / Gold,128.0
2408,ASRock Z690M PG RIPTIDE/D5,,,LGA1700,Micro ATX,192 GB,4,Black / Silver,192.0
2409,MSI PRO B760-P DDR4,,,LGA1700,ATX,128 GB,4,Black / Silver,128.0
2410,Colorful BATTLE-AX Z790M-PLUS D5 V20,,,LGA1700,Micro ATX,128 GB,4,Black / Orange,128.0
2411,Gigabyte A620M C,,,AM5,Micro ATX,192 GB,4,Gray / Black,192.0
2412,Gigabyte B760M K V2 DDR4,,,LGA1700,Micro ATX,64 GB,2,Black,64.0
2413,Asus Z790-AYW WIFI W II-CSM,,,LGA1700,ATX,192 GB,4,White,192.0
2414,ASRock Z490 Steel Legend,,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
2415,Supermicro MBD-X11SAE-F-O,,585.00,LGA1151,ATX,64 GB,4,Black / Green,64.0
2416,ASRock EP2C612D16C-4L,,,2 x LGA2011-3 Narrow,SSI EEB,1024 GB,16,Green / Blue,1024.0
2417,Gigabyte GA-H67MA-USB3-B3,,,LGA1155,Micro ATX,32 GB,4,Blue / White,32.0
2418,ASRock Z590 Taichi,,794.25,LGA1200,ATX,128 GB,4,Black / Silver,128.0
2419,Asus P7P55D,,,LGA1156,ATX,16 GB,4,Black / Blue,16.0
2420,ECS G31T-M7,,,LGA775,Micro ATX,4 GB,2,Multicolor,4.0
2421,Asus P6X58-E PRO,,,LGA1366,ATX,48 GB,6,Black / Blue,48.0
2422,Supermicro MBD-X9SCM-F-O,,,LGA1155,Micro ATX,32 GB,4,Green,32.0
2423,MSI 760GM-P23 (FX),3.5,,AM3+,Micro ATX,16 GB,2,Black / Blue,16.0
2424,ASRock Z77 Pro3,4.0,,LGA1155,ATX,32 GB,4,Brown / Black,32.0
2425,Intel DH77KC,3.0,,LGA1155,ATX,32 GB,4,Black / Blue,32.0
2426,Gigabyte GA-B75M-HD3,,,LGA1155,Micro ATX,16 GB,2,Blue / White,16.0
2427,ASRock B85 Pro4,3.5,,LGA1150,ATX,32 GB,4,Brown / Black,32.0
2428,Gigabyte G1.Sniper Z87,5.0,,LGA1150,ATX,32 GB,4,Black / Green,32.0
2429,Gigabyte GA-B85M-DS3H,4.0,,LGA1150,Micro ATX,32 GB,4,Black / Gray,32.0
2430,Asus MAXIMUS VII GENE,4.5,,LGA1150,Micro ATX,32 GB,4,Black / Red,32.0
2431,Gigabyte GA-Z97N-WIFI,4.5,,LGA1150,Mini ITX,16 GB,2,Black / Silver,16.0
2432,Gigabyte GA-Z97X-UD3H-BK,4.5,,LGA1150,ATX,32 GB,4,Black / Gray,32.0
