,title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_gb
2860,Silicon Power S60 3K P/E,4.0,84.91,120 GB,0.708,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
2861,Seagate ST900MM0128,,129.00,900 GB,0.143,10000 RPM,128 MB,"2.5""",SAS 12.0 Gb/s,900.0
2862,Seagate ST1000NX0333,,75.00,1 TB,0.075,7200 RPM,128 MB,"2.5""",SAS 12.0 Gb/s,1000.0
2863,Western Digital Purple NV,,160.00,6 TB,0.027,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,6000.0
2864,Intel DC P3500,,427.50,2 TB,0.214,SSD,,"2.5""",U.2,2000.0
2865,Mushkin SOURCE 2,,,250 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,250.0
2866,Toshiba N300,,497.44,14 TB,0.036,7200 RPM,,"3.5""",SATA 6.0 Gb/s,14000.0
2867,Toshiba N300,,,14 TB,,7200 RPM,,"3.5""",SATA 6.0 Gb/s,14000.0
2868,Western Digital SN520,,,512 GB,,SSD,,M.2-2230,M.2 PCIe 3.0 X2,512.0
2869,Titanium Micro TH7175,,92.99,1 TB,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
2870,OWC Mercury Electra 6G,,58.99,500 GB,0.118,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
2871,PNY CS2142,,,2 TB,,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2000.0
2872,Apacer AS2280P4U Pro,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
2873,Integral INSSD512GM242,,,512 GB,,SSD,,M.2-2242,M.2 SATA,512.0
2874,Western Digital VelociRaptor,4.0,,300 GB,,10000 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,300.0
2875,Western Digital RE4,,,1.5 TB,,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,1500.0
2876,Western Digital RE3,5.0,,750 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2877,Western Digital RE3,,,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
2878,Western Digital RE2,5.0,98.95,750 GB,0.132,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,750.0
2879,Western Digital RE2,,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,500.0
2880,Western Digital RE2,,,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
2881,Western Digital RE2-GP,,149.94,750 GB,0.200,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,750.0
2882,Western Digital Caviar Blue,,,320 GB,,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,320.0
2883,Western Digital Caviar Green,3.0,,640 GB,,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,640.0
2884,Western Digital Caviar Green,5.0,148.94,750 GB,0.199,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2885,Western Digital Caviar Green,4.5,,750 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,750.0
2886,Western Digital Scorpio Black,4.5,,320 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,320.0
2887,Western Digital Scorpio Black,,,120 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,120.0
2888,Western Digital Scorpio Black,,,120 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,120.0
2889,Western Digital Scorpio Black,4.0,,80 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,80.0
2890,Western Digital Scorpio Blue,3.0,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,160.0
2891,Western Digital AV,,,500 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,500.0
2892,Western Digital AV,,,320 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,320.0
2893,Western Digital AV,,,250 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,250.0
2894,Western Digital AV,5.0,Out of stock$73.70,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
2895,Western Digital AV-GP,,,2 TB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,2000.0
2896,Western Digital AV-GP,,,750 GB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2897,Western Digital AV-GP,,,750 GB,,5400 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,750.0
2898,Western Digital AV-GP,,,640 GB,,5400 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,640.0
2899,Western Digital AV-25,,Out of stock$58.16,320 GB,,5400 RPM,32 MB,"2.5""",SATA 3.0 Gb/s,320.0
2900,Western Digital AV-25,,,250 GB,,5400 RPM,32 MB,"2.5""",SATA 3.0 Gb/s,250.0
2901,Western Digital AV-25,,,160 GB,,5400 RPM,32 MB,"2.5""",SATA 3.0 Gb/s,160.0
2902,Hitachi 7K1000.C,,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
2903,Hitachi 7K1000.B,4.0,,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
2904,Hitachi 7K1000.B,3.0,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
2905,Hitachi E7K1000,,,750 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2906,Seagate BarraCuda,4.0,,1.5 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,1500.0
2907,Seagate BarraCuda,,,1 TB,,5900 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,1000.0
2908,Intel X25-E,,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,32.0
2909,Intel X25-E,,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,32.0
2910,Intel X25-E,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
2911,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2912,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2913,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2914,Intel X25-M,5.0,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2915,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2916,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2917,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2918,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2919,Intel X25-M,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
2920,Intel X25-M,4.0,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
2921,Intel X25-M,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
2922,Intel X25-M,,Out of stock$396.38,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
2923,Intel X25-V,3.0,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,40.0
2924,Samsung Spinpoint F3 EG,,,750 GB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2925,Samsung Spinpoint F3 EG,,,500 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,500.0
2926,Samsung Spinpoint F3 EG,,,320 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
2927,Samsung Spinpoint F3 EG,,,250 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,250.0
2928,Samsung Spinpoint F3,,,750 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2929,Samsung Spinpoint F3,3.0,,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
2930,Samsung Spinpoint F3,,,320 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,320.0
2931,Samsung Spinpoint F3,,,250 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,250.0
2932,Samsung Spinpoint F3,,,160 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,160.0
2933,Samsung Spinpoint F3,,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
2934,Samsung Spinpoint F3 RE,,,640 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,640.0
2935,Samsung Spinpoint F2 EG,,,1.5 TB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,1500.0
2936,Samsung Spinpoint F2 EG,,,1 TB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,1000.0
2937,Samsung Spinpoint F1 EG,,,1 TB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,1000.0
2938,Samsung Spinpoint F1 EG,,,750 GB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2939,Samsung Spinpoint F1 EG,,,640 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,640.0
2940,Samsung Spinpoint F1 EG,,,500 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,500.0
2941,Samsung Spinpoint F1 EG,,,320 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
2942,Samsung Spinpoint F1 EG,,,250 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,250.0
2943,Samsung Spinpoint F1 EG,,,750 GB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2944,Samsung Spinpoint F1 EG,,,640 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,640.0
2945,Samsung Spinpoint F1 EG,,,320 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
2946,Samsung Spinpoint F1 EG,,,250 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,250.0
2947,Samsung Spinpoint F1 DT,,,250 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,250.0
2948,Samsung Spinpoint F1 DT,,,250 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,250.0
2949,Samsung Spinpoint F1 DT,,,160 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,160.0
2950,Samsung Spinpoint F1 RAID,,,250 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,250.0
2951,Samsung Spinpoint F1 CE,,,750 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
2952,Samsung Spinpoint F1 CE,,,640 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,640.0
2953,Samsung Spinpoint F1 CE,,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,500.0
2954,Samsung Spinpoint F1 CE,,,320 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,320.0
2955,Samsung Spinpoint F1 CE,,,250 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,250.0
2956,Samsung Spinpoint MP4,,,640 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,640.0
2957,Samsung Spinpoint M7,,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,160.0
2958,Samsung Spinpoint M7,3.0,,250 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,250.0
2959,Samsung Spinpoint M7,,,400 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,400.0
2960,Samsung Spinpoint M7E,,,640 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,640.0
2961,Samsung Spinpoint M7E,3.0,,250 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,250.0
2962,Samsung Spinpoint M7E,,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,160.0
2963,OCZ Colossus,,,120 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,120.0
2964,OCZ Colossus LT,,,120 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,120.0
2965,OCZ Colossus LT,,,500 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,500.0
2966,OCZ Vertex 2 EX,,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,50.0
2967,OCZ Vertex 2 EX,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,200.0
2968,OCZ Vertex 2 Pro,,,100 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,100.0
2969,OCZ Vertex 2 Pro,,,400 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,400.0
2970,OCZ Vertex EX,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
2971,OCZ Vertex EX,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
2972,OCZ Vertex Limited,,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,50.0
2973,OCZ Vertex Limited,,,100 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,100.0
2974,OCZ Vertex Limited,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,200.0
2975,OCZ Vertex 2,5.0,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,50.0
2976,OCZ Vertex 2,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,200.0
2977,OCZ Vertex 2,,,400 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,400.0
2978,OCZ Vertex 2,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
2979,OCZ Vertex 2,,,480 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,480.0
2980,OCZ Agility 2,5.0,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,50.0
2981,OCZ Agility 2,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,200.0
2982,OCZ Agility 2,4.0,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
2983,OCZ Agility 2,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,240.0
2984,OCZ Vertex Turbo,,,30 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,30.0
2985,OCZ Vertex Turbo,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
2986,OCZ Vertex Turbo,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
2987,OCZ Vertex,3.0,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
2988,OCZ Vertex,,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,90.0
2989,OCZ Vertex,4.5,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
2990,OCZ Vertex,,,250 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,250.0
2991,OCZ Agility,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
2992,OCZ Agility,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
2993,OCZ Agility,,,250 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,250.0
2994,OCZ Solid 2,,,30 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,30.0
2995,OCZ Solid 2,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
2996,OCZ Solid 2,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
2997,OCZ Onyx,5.0,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,32.0
2998,OCZ Onyx,4.0,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
2999,Hitachi Deskstar,3.0,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,1000.0
3000,Samsung Spinpoint M5,,29.00,160 GB,0.181,5400 RPM,8 MB,"2.5""",PATA 44-Pin 100,160.0
3001,Western Digital Caviar Green,4.0,,2 TB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,2000.0
3002,Seagate Barracuda ES.2,4.0,116.00,750 GB,0.155,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,750.0
3003,Western Digital Caviar Blue,5.0,,250 GB,,7200 RPM,8 MB,"3.5""",PATA 100,250.0
3004,Western Digital VelociRaptor,,,300 GB,,10000 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,300.0
3005,Western Digital Caviar Blue,,,160 GB,,7200 RPM,8 MB,"3.5""",PATA 100,160.0
3006,Western Digital AV,,,500 GB,,7200 RPM,8 MB,"3.5""",PATA 100,500.0
3007,OCZ Vertex 2,,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,40.0
3008,OCZ Vertex 2,4.5,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,90.0
3009,OCZ Vertex 2,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,180.0
3010,Seagate SV35.5,,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,1000.0
3011,Seagate BarraCuda,4.0,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
3012,Seagate Pipeline HD,,,160 GB,,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
3013,Seagate Pipeline HD,,,160 GB,,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
3014,Seagate BarraCuda,,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
3015,Western Digital AV-GP,5.0,,1.5 TB,,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,1500.0
3016,Western Digital RE4-GP,,,1.5 TB,,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,1500.0
3017,Samsung Spinpoint F4,,,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
3018,Western Digital Caviar Blue,4.0,79.00,750 GB,0.105,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,750.0
3019,Western Digital VelociRaptor,,,600 GB,,10000 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,600.0
3020,Kingston SSDNow E,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3021,Kingston SSDNow V,,,30 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,30.0
3022,Kingston SSDNow V,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,128.0
3023,Kingston SSDNow V+,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3024,Kingston SSDNow V+,5.0,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3025,Kingston SSDNow V100,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,128.0
3026,Kingston SSDNow V100,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3027,Kingston SSDNow V100,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,128.0
3028,Kingston SSDNow V100,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,256.0
3029,Kingston SSDNow V100,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3030,Kingston SSDNow V+ 100E,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3031,Intel X25-M,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
3032,Crucial RealSSD C300,3.5,,64 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,64.0
3033,Crucial RealSSD C300,,,64 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,64.0
3034,Crucial RealSSD C300,,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
3035,Crucial RealSSD C300,,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
3036,OCZ Vertex 2,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
3037,OCZ Vertex 2,4.0,,120 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,120.0
3038,OCZ Vertex 2,,,180 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,180.0
3039,OCZ Agility 2,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
3040,OCZ Agility 2,3.0,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,40.0
3041,OCZ Agility 2,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
3042,OCZ Agility 2,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,180.0
3043,OCZ Agility 2,,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,90.0
3044,OCZ Agility 2,,,120 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,120.0
3045,ADATA S599,5.0,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,40.0
3046,ADATA S599,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3047,Corsair Force,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
3048,Corsair Force,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
3049,Corsair Force,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,180.0
3050,Corsair Force,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,240.0
3051,Corsair Force,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3052,Corsair Force,,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,90.0
3053,Corsair Nova,4.0,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3054,G.Skill Phoenix,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3055,G.Skill Sniper Gaming,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
3056,G.Skill Sniper Gaming,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3057,G.Skill Phoenix Pro,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,240.0
3058,G.Skill Phoenix Pro,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3059,G.Skill Phoenix,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
3060,OCZ Onyx 2,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,240.0
3061,Mushkin Callisto Deluxe,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,240.0
3062,Patriot Inferno,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3063,Mushkin Callisto Deluxe,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3064,Mushkin Callisto Deluxe,,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,40.0
3065,Samsung 470,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,128.0
3066,Samsung 470,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3067,Hitachi A7K1000,,,500 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,500.0
3068,Hitachi 7K1000.C,,,250 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,250.0
3069,Hitachi 0F10381,4.0,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,500.0
3070,Hitachi 7K1000.C,,Out of stock$46.69,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
3071,Hitachi 7K500,,,160 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,160.0
3072,Hitachi E5K500.B,,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,160.0
3073,Western Digital RE4,4.0,,250 GB,,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,250.0
3074,Western Digital RE2,,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,500.0
3075,Western Digital VelociRaptor,,,300 GB,,10000 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,300.0
3076,Hitachi 7K1000.C,,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,160.0
3077,OCZ Vertex 2,,,320 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,320.0
3078,Zalman N,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,128.0
3079,Zalman N,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3080,OCZ Agility 2,,,320 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,320.0
3081,Patriot Inferno,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,240.0
3082,Patriot Torqx TRB,,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,32.0
3083,Patriot Torqx TRB,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3084,Kingston SSDNow V+100,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3085,Kingston SSDNow V+100,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,256.0
3086,Kingston SSDNow V+100,,,96 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,96.0
3087,OCZ Agility 2,,,180 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,180.0
3088,Seagate SV35,3.0,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s,500.0
3089,Seagate SV35,,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,1000.0
3090,Western Digital Caviar GP,,,320 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,320.0
3091,Hitachi Deskstar,4.0,,3 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,3000.0
3092,OCZ Vertex 2,5.0,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
3093,Mushkin Callisto Deluxe,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
3094,Corsair Force,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
3095,OCZ Agility 2,,,240 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,240.0
3096,OCZ Vertex 2,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3097,Kingston SSDNow V+100,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,256.0
3098,Western Digital Caviar Black,4.0,,1.5 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1500.0
3099,Mushkin Callisto Deluxe,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,180.0
3100,Corsair Force,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,60.0
3101,ADATA S599,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,128.0
3102,ADATA S599,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,64.0
3103,Hitachi H3IK30003254SW,,,3 TB,,5400 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,3000.0
3104,Western Digital Caviar Green,3.0,,3 TB,,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,3000.0
3105,Intel 320,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,160.0
3106,Intel 320,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,80.0
3107,Intel 320,4.0,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
3108,G.Skill Phoenix Evo,,,115 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,115.0
3109,OCZ Vertex 3,,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
3110,Corsair Force,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,180.0
