title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Seagate BarraCuda,4.5,143.0,5 TB,0.029,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,0.128,5000.0
Corsair MP600 ELITE,,82.99,1 TB,0.083,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Samsung 980,5.0,49.99,250 GB,0.2,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,250.0
TEAMGROUP EX2,,,16 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,16000.0
Patriot Viper VP4300 Lite,5.0,69.98,1 TB,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Crucial P1,4.5,109.0,1 TB,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Seagate Desktop HDD,4.5,,4 TB,,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,4000.0
XOC G300,,35.99,512 GB,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Seagate Barracuda Compute,4.5,84.99,4 TB,0.021,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,4000.0
SanDisk SSD PLUS,4.5,94.99,1 TB,0.095,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Seagate IronWolf NAS,,249.99,12 TB,0.021,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Samsung 860 Evo,4.5,66.13,250 GB,0.265,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,0.512,250.0
Toshiba MQ01ABD032,3.0,,320 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,320.0
Seagate IronWolf Pro NAS,,195.0,8 TB,0.024,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
Samsung 980 Pro w/Heatsink,4.5,239.0,2 TB,0.119,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2.048,2000.0
Western Digital AV-GP,4.0,75.0,1 TB,0.075,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
TEAMGROUP MS30,4.0,52.99,1 TB,0.053,SSD,,M.2-2280,M.2 SATA,,1000.0
Crucial P2,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Western Digital Blue SA510,3.0,65.29,1 TB,0.065,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
TEAMGROUP T-Force Cardea Z44L,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Toshiba DT01ACA100,4.0,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,1000.0
Samsung PM893,,973.0,7.68 TB,0.127,SSD,,"2.5""",SATA 6.0 Gb/s,,7680.0
