title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface
Seagate Barracuda Compute,4.5,$111.98,8 TB,$0.014,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Samsung 860 Evo,4.5,$93.43,500 GB,$0.187,SSD,512 MB,"2.5""",SATA 6.0 Gb/s
Samsung 970 Evo,4.5,$111.00,500 GB,$0.222,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,None,$293.00,16 TB,$0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Seagate IronWolf NAS,None,$99.99,4 TB,$0.025,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Samsung 980 Pro w/Heatsink,4.5,$131.99,1 TB,$0.132,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,4.5,$219.00,2 TB,$0.109,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
Seagate Surveillance HDD,None,$99.00,2 TB,$0.050,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Crucial T705 W/Heatsink,5.0,$409.99,4 TB,$0.102,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro NAS,5.0,$359.99,20 TB,$0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Patriot P300,4.0,$17.48,128 GB,$0.137,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Patriot P400 Lite,5.0,$37.99,500 GB,$0.076,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SX8200 Pro,4.5,$62.99,1 TB,$0.063,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Acer FA100,4.0,$59.99,1 TB,$0.060,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,4.0,$30.00,500 GB,$0.060,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s
MSI SPATIUM M450,4.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,4.5,$110.00,4 TB,$0.028,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Leven JPS600,4.0,$94.99,2 TB,$0.047,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_BLACK SN7100,None,$79.98,1 TB,$0.080,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,4.5,$161.99,4 TB,$0.040,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,4.5,$33.99,512 GB,$0.066,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Blue SN580,5.0,$32.99,250 GB,$0.132,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE XT,4.5,$71.50,1 TB,$0.072,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP QX,4.5,$190.99,4 TB,$0.048,SSD,None,"2.5""",SATA 6.0 Gb/s
MSI SPATIUM M480 PRO,5.0,$154.99,2 TB,$0.077,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482,5.0,$136.99,2 TB,$0.068,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,4.5,$49.99,1 TB,$0.050,SSD,None,"2.5""",SATA 6.0 Gb/s
Corsair MP600 CORE,None,$1298.00,4 TB,$0.325,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4 7300,5.0,$91.99,1 TB,$0.092,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,5.0,$309.99,4 TB,$0.077,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,4.5,$64.98,2 TB,$0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Silicon Power A55,5.0,$52.99,1 TB,$0.053,SSD,None,M.2-2280,M.2 SATA
Timetec 35TTQNM2SATA,None,$26.99,512 GB,$0.053,SSD,None,M.2-2280,M.2 SATA
Crucial MX500,4.5,$265.02,2 TB,$0.133,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s
Silicon Power A55,4.5,$50.97,1 TB,$0.051,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Blue,4.5,$141.47,1 TB,$0.141,SSD,None,"2.5""",SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,5.0,$155.98,2 TB,$0.078,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO w/Heatsink,None,None,8 TB,None,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO NH,None,$849.00,8 TB,$0.106,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 800,5.0,$119.99,2 TB,$0.060,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
